,loss,mae,mse,val_loss,val_mae,val_mse,epoch
170,1358335616.0,21007.345703125,1358335616.0,32326895616.0,104082.1640625,32326895616.0,170
171,1335770752.0,20788.8203125,1335770752.0,30960666624.0,102063.2890625,30960666624.0,171
172,1312685696.0,20648.880859375,1312685696.0,29131425792.0,99130.890625,29131425792.0,172
173,1292527744.0,20540.04296875,1292527744.0,28633651200.0,98466.1640625,28633651200.0,173
174,1272508288.0,20381.580078125,1272508288.0,28612171776.0,98623.1328125,28612171776.0,174
175,1251543424.0,20178.041015625,1251543424.0,27855865856.0,97463.0859375,27855865856.0,175
176,1229666176.0,19973.4609375,1229666176.0,26787794944.0,95733.546875,26787794944.0,176
177,1208475392.0,19791.890625,1208475392.0,25916968960.0,94309.625,25916968960.0,177
178,1187333632.0,19599.015625,1187333632.0,25500870656.0,93666.859375,25500870656.0,178
179,1170790272.0,19420.208984375,1170790272.0,25173078016.0,93169.9921875,25173078016.0,179
180,1150427136.0,19222.580078125,1150427136.0,24020647936.0,91233.7890625,24020647936.0,180
181,1129362688.0,19066.41796875,1129362688.0,22444406784.0,88470.359375,22444406784.0,181
182,1111536000.0,18948.380859375,1111536000.0,21669808128.0,87111.8046875,21669808128.0,182
183,1093439232.0,18790.173828125,1093439232.0,21592537088.0,87007.5703125,21592537088.0,183
184,1075134592.0,18596.232421875,1075134592.0,21056669696.0,86039.1640625,21056669696.0,184
185,1056764672.0,18416.5859375,1056764672.0,19926120448.0,83962.2421875,19926120448.0,185
186,1038195456.0,18257.783203125,1038195456.0,19249127424.0,82686.859375,19249127424.0,186
187,1019736832.0,18075.521484375,1019736832.0,19236630528.0,82652.3671875,19236630528.0,187
188,1001747904.0,17865.146484375,1001747904.0,18827235328.0,81833.9375,18827235328.0,188
189,984410112.0,17689.509765625,984410112.0,17728772096.0,79710.0078125,17728772096.0,189
190,967322944.0,17543.134765625,967322944.0,16898452480.0,78038.265625,16898452480.0,190
191,952215872.0,17396.3359375,952215872.0,16707042304.0,77563.109375,16707042304.0,191
192,934797504.0,17215.673828125,934797504.0,16154646528.0,76356.75,16154646528.0,192
193,919153728.0,17060.638671875,919153728.0,15042880512.0,74038.453125,15042880512.0,193
194,903231936.0,16925.158203125,903231936.0,14356637696.0,72510.0703125,14356637696.0,194
195,887307712.0,16765.693359375,887307712.0,14256048128.0,72133.7578125,14256048128.0,195
