country_or_area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Poland,1418987.9216855392,1387298.3632192085,1343140.5118697516,1345052.7364031845,1329655.6811377269,1335818.2621350395,1375441.3189302655,1346566.4344649613,1246863.965892818,1212093.5696904538,1176827.272232046,1169794.0319853213,1138937.7424778903,1179196.7221134098,1192808.31161493,1192241.7984585962,1234606.6305531722,1233721.0163726553,1209439.5186381384,1154838.9863582607,1210796.7927146005,1209814.0788833434,1190950.6480999917,1179275.6165901541,1140112.6976135978
Portugal,181348.41391818103,186762.84169318218,200613.13307838398,196552.329288447,200461.2028547505,213772.64054822116,206176.94230305977,216247.88193872178,231244.26182016588,255239.52448032075,251449.36344485029,251252.57772367215,264211.3332037782,248528.20692546162,257710.9961475825,265484.5312922358,250400.7147311165,243026.32548176864,235931.92236464913,227557.3389420441,213737.63338164904,209081.8635988247,202798.59490790477,197388.98270524087,196987.846779702
Romania,764997.3688132438,625432.2460951643,572804.465823789,546033.2206691764,534323.7133826995,555031.5328655813,562427.1575430179,526476.9803587499,465849.37730531115,410303.18356807216,427214.0020938837,447773.78717976966,444068.66751621617,459814.189424616,455631.07483801234,447987.6836633546,454294.66594834847,446124.54139197886,430646.6068601161,376584.16680983116,357374.9432497203,372793.85117322,368000.8629127797,335801.6875681498,334838.43181422347
Russian Federation,11302665.132794037,10606800.074673774,9008306.40062886,8427883.574456166,7535071.854728938,7288297.331121154,7064301.78573609,6783550.399172102,6689023.997181362,6784174.618727963,6823493.8332891865,7002200.671448493,7027598.727376258,7266293.3615936395,7413709.216480773,7504913.730217622,7723236.0289536845,7752927.181339321,7849390.661704709,7445963.377415212,7807450.283770053,7995537.773038622,8102775.72012693,7929193.799523304,7946620.041596007
Slovakia,222814.53205335693,193933.59971244988,177612.839450259,167067.8487302013,159159.89713314606,163216.7313990318,164118.19755120628,163190.81407932244,158981.52905538608,155101.27676860528,149137.4329697481,156382.99680919744,150434.27606257264,151759.72804820377,153945.487585833,153862.1249354323,153620.74496590166,148215.21924438392,150266.2095540192,136672.88706148925,139448.62126622218,136812.05528097926,129526.76540051069,128377.4366988996,121972.8051009396
Slovenia,55849.347289338904,51934.58740090681,52230.20439192689,52816.6146229238,54013.33617846276,56283.05411330996,58320.73342004945,59383.400220141,58561.15977039328,56678.396916490216,57378.687498307496,60032.15934698965,60479.68724001599,59634.74147152981,60595.33702091336,61568.215204513835,62084.917420806894,62495.509663216166,64570.64525383447,58786.10173924538,58856.29478842177,58879.391966223324,57106.262637810585,54941.34460117108,49746.93568878207
Spain,561201.7507685283,578953.2898463326,597319.1991336581,577041.013230366,609688.8364533621,640363.1170398259,623873.2667441582,652524.399789818,671928.3616411504,725181.9737575096,757292.6355307944,751579.3882053581,787652.1570867264,802538.7189726362,833837.7733885803,863257.7319618581,849129.455582781,866801.1227987403,804633.4997000122,731060.565140542,707449.378149384,707744.4771905574,697112.8686350103,640244.0786029944,643488.1339042364
Sweden,215751.77877506352,216123.76455896342,214581.15108490345,215421.5721998988,222694.4667365847,222088.0809651954,232722.30061464146,218316.8961641109,219257.59257812402,210545.10917056675,206606.30654281678,207576.347430066,210482.3451042323,211804.08128523204,208747.32540267776,200904.90811508335,200770.27357850724,196117.96071411777,189363.3674670333,177158.29143166833,194991.26212456706,182961.4431260244,172735.07727630818,167818.56986979785,163148.21185686064
Switzerland,160335.4983242508,166146.8736372851,165269.12699399944,157308.73645158517,154270.47270329058,156888.25055068222,159052.40079625006,155267.1406647855,160051.62233497613,159311.4676357453,157134.91166970565,161893.68906522953,157117.33236867358,160762.35414200794,162656.0786757443,164703.67721363262,163572.8665189701,157790.63759522227,162378.94149906814,158453.39183562907,163244.25026089762,151013.06800379197,155034.7153217225,157681.18906732238,145972.02814142115
Turkey,623319.9634286013,642384.9664930319,662391.4329469593,691886.9976402749,674157.7057131634,717119.3753926442,769971.2412490234,809827.5088763825,815267.7975953696,814073.8653010204,890432.5050527737,836354.8368152035,861283.7037627088,911083.2747709013,950681.1156666481,1035695.38464222,1113961.6594934545,1210177.4580713403,1179302.7230573543,1147540.2567459363,1185847.5305843998,1247606.4424982762,1342356.993968628,1316458.751994261,1402651.130815669
Ukraine,2813862.6113043814,2559623.2568277786,2386340.881842808,2116129.727864996,1801019.9316828635,1671143.8089527881,1535059.8879733942,1488659.935310379,1393200.0924869946,1311112.661602425,1241770.3264774838,1301497.6378799635,1252508.059545051,1252668.3256372744,1283737.2708230878,1306981.9851002642,1356269.288275023,1365802.333725081,1326517.125460533,1153955.3635471435,1205787.2800353174,1264907.9786238354,1228594.058043372,1203200.896649544,1063042.6100735373
United Kingdom,1600214.977112239,1619013.5814948399,1578210.5189442157,1538513.5608160803,1516636.9419693085,1504927.836457002,1548451.5686386267,1499037.5937609302,1493924.044238142,1432598.8205380256,1435157.5858701894,1442052.7452637341,1402009.3807939796,1416170.060457766,1408180.2034223475,1392083.2787103753,1380641.9866265755,1356023.2462998584,1315961.7360043118,1199113.5319385135,1228333.4811395782,1131978.0308587856,1165893.1853208626,1140157.0666131282,1055001.5025740103
United States of America,19191433.469006743,18992813.656517703,19346031.462076616,19699247.569173124,19950889.78531222,20245586.776678447,20849514.012460407,20999997.301258054,21200364.488428373,21271327.834450766,21776919.35101662,21422697.424025908,21555984.41459052,21674922.09780381,22109910.103709556,22136326.49261187,21948433.36778289,22266623.88885417,21649245.212707434,20328689.321631175,20956371.160281777,20596193.708998445,19929031.733619567,20399937.90840408,20611338.27461358
